,filmid,raiting,tittle
170,60806.0,5.0,"Little Mermaid 2: Return to the Sea, The (2000)"
171,60609.0,5.0,Death Note (2006)
172,843.0,5.0,Lotto Land (1995)
173,845.0,5.0,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)"
174,60365.0,5.0,Frosty the Snowman (1969)
175,853.0,5.0,Dingo (1991)
176,58816.0,5.0,"Gymnast, The (2006)"
177,854.0,5.0,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
178,855.0,5.0,Every Other Weekend (Un week-end sur deux) (1990)
179,856.0,5.0,Mille bolle blu (1993)
180,857.0,5.0,Crows and Sparrows (Wuya yu maque) (1949)
181,65685.0,5.0,Inkheart (2008)
182,871.0,5.0,Lover's Knot (1996)
183,66019.0,5.0,"Great Ecstasy of Woodcarver Steiner, The (Große Ekstase des Bildschnitzers Steiner, Die) (1974)"
184,873.0,5.0,Shadow of Angels (Schatten der Engel) (1976)
185,730.0,5.0,Low Life (1994)
186,884.0,5.0,Sweet Nothing (1996)
187,58889.0,5.0,"Business of Being Born, The (2008)"
188,722.0,5.0,"Haunted World of Edward D. Wood Jr., The (1996)"
189,889.0,5.0,1-900 (06) (1994)
190,49330.0,5.0,London to Brighton (2006)
191,72294.0,5.0,"Christmas Carol, A (2009)"
192,49123.0,5.0,Emmet Otter's Jug-Band Christmas (1977)
193,34659.0,5.0,She Creature (Mermaid Chronicles Part 1: She Creature) (2001)
194,40870.0,5.0,C.R.A.Z.Y. (2005)
195,40412.0,5.0,Dead Man's Shoes (2004)
196,39796.0,5.0,Empire of the Wolves (L'empire des loups) (2005)
197,1308.0,5.0,I Shot a Man in Vegas (1995)
198,1309.0,5.0,Parallel Sons (1995)
199,78332.0,5.0,"Beautiful Person, The (La belle personne) (2008)"
200,1310.0,5.0,Hype! (1996)
201,1311.0,5.0,Santa with Muscles (1996)
202,1313.0,5.0,Mad Dog Time (1996)
203,1314.0,5.0,Breathing Room (1996)
204,1315.0,5.0,Paris Was a Woman (1995)
205,1319.0,5.0,Kids of Survival (1996)
206,78898.0,5.0,"Big Hand for the Little Lady, A (1966)"
207,34111.0,5.0,"God Who Wasn't There, The (2005)"
208,1098.0,5.0,"Search for One-eye Jimmy, The (1996)"
209,33424.0,5.0,"List of Adrian Messenger, The (1963)"
210,79228.0,5.0,Like Minds (Murderous Intent) (2006)
211,79533.0,5.0,"Bugs Bunny / Road Runner Movie, The (a.k.a. The Great American Chase) (1979)"
212,33410.0,5.0,Crackerjack (2002)
213,32914.0,5.0,Carrie (2002)
214,1360.0,5.0,Identification of a Woman (Identificazione di una donna) (1982)
215,1364.0,5.0,Zero Kelvin (Kjærlighetens kjøtere) (1995)
216,1368.0,5.0,"Forbidden Christ, The (Cristo proibito, Il) (1950)"
217,80779.0,5.0,Every Day (2010)
218,80844.0,5.0,Lake Mungo (2008)
219,1369.0,5.0,I Can't Sleep (J'ai pas sommeil) (1994)
220,32657.0,5.0,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)"
221,1383.0,5.0,Adrenalin: Fear the Rush (1996)
222,563.0,5.0,Germinal (1993)
223,42191.0,5.0,Luxo Jr. (1986)
224,42518.0,5.0,Christmas in Connecticut (1945)
225,571.0,5.0,"Wedding Gift, The (1994)"
226,1115.0,5.0,Sleepover (1995)
227,1116.0,5.0,"Single Girl, A (Fille seule, La) (1995)"
228,72692.0,5.0,Mickey's Once Upon a Christmas (1999)
229,1118.0,5.0,North Star (a.k.a. Tashunga) (1995)
230,1119.0,5.0,Drunks (1995)
231,1133.0,5.0,Talking About Sex (1994)
232,1134.0,5.0,Johnny 100 Pesos (Johnny cien pesos) (1993)
233,46762.0,5.0,"Thief Lord, The (2006)"
234,1137.0,5.0,Hustler White (1996)
235,73344.0,5.0,"Prophet, A (Un Prophète) (2009)"
236,1140.0,5.0,Entertaining Angels: The Dorothy Day Story (1996)
237,73462.0,5.0,Ernest Goes to School (1994)
238,46581.0,5.0,Brothers of the Head (2005)
239,1143.0,5.0,Three Lives and Only One Death (Trois vies & une seule mort) (1996)
240,1144.0,5.0,"Line King: The Al Hirschfeld Story, The (1996)"
241,1146.0,5.0,Curtis's Charm (1995)
242,1149.0,5.0,JLG/JLG (JLG/JLG - autoportrait de décembre) (1994)
243,46561.0,5.0,Leonard Cohen: I'm Your Man (2005)
244,45837.0,5.0,Let It Be (1970)
245,1163.0,5.0,Mina Tannenbaum (1994)
246,74508.0,5.0,Persuasion (2007)
247,582.0,5.0,Métisse (Café au Lait) (1993)
248,1165.0,5.0,"Bloody Child, The (1996)"
249,1166.0,5.0,Farmer & Chase (1997)
250,45652.0,5.0,American Gun (2005)
251,44861.0,5.0,Dead Fish (2004)
252,1184.0,5.0,Mediterraneo (1991)
253,95756.0,5.0,"Cat in the Hat, The (1971)"
254,791.0,5.0,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
255,95839.0,5.0,"Christmas Carol, A (1999)"
256,3881.0,5.0,Phish: Bittersweet Motel (2000)
257,106407.0,5.0,Seduced and Abandoned (2013)
258,3787.0,5.0,Shower (Xizao) (1999)
259,2284.0,5.0,Bandit Queen (1994)
260,3794.0,5.0,Chuck & Buck (2000)
261,5968.0,5.0,Miami Blues (1990)
262,3804.0,5.0,H.O.T.S. (1979)
263,3822.0,5.0,"Girl on the Bridge, The (Fille sur le pont, La) (1999)"
264,117533.0,5.0,Citizenfour (2014)
265,5912.0,5.0,Hit the Bank (Vabank) (1981)
266,3777.0,5.0,Nekromantik (1987)
267,5855.0,5.0,Shock Treatment (1981)
268,5765.0,5.0,"Looney, Looney, Looney Bugs Bunny Movie, The (1981)"
269,5731.0,5.0,"Entity, The (1981)"
270,5667.0,5.0,Tuck Everlasting (2002)
271,3903.0,5.0,Urbania (2000)
272,117364.0,5.0,Virunga (2014)
273,117192.0,5.0,Doctor Who: The Time of the Doctor (2013)
274,2691.0,5.0,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)"
275,3782.0,5.0,Shaft's Big Score! (1972)
276,3773.0,5.0,House Party (1990)
277,3423.0,5.0,School Daze (1988)
278,2189.0,5.0,I Married A Strange Person! (1997)
279,3522.0,5.0,Sacco and Vanzetti (Sacco e Vanzetti) (1971)
280,2156.0,5.0,"Best Man, The (Testimone dello sposo, Il) (1998)"
281,6530.0,5.0,"Tenant, The (Locataire, Le) (1976)"
282,103493.0,5.0,Gideon's Army (2013)
283,3547.0,5.0,Prick Up Your Ears (1987)
284,3587.0,5.0,Inferno (1980)
285,6452.0,5.0,"Long, Hot Summer, The (1958)"
286,119565.0,5.0,The Missing (2014)
287,6415.0,5.0,Intervista (1987)
288,118700.0,5.0,Selma (2014)
289,119153.0,5.0,Bill Burr: You People Are All the Same (2012)
290,3653.0,5.0,"Endless Summer, The (1966)"
291,2197.0,5.0,Firelight (1997)
292,3655.0,5.0,Blow-Out (La grande bouffe) (1973)
293,118896.0,5.0,Mommy (2014)
294,4688.0,5.0,Black Robe (1991)
295,105468.0,5.0,Cloudy with a Chance of Meatballs 2 (2013)
296,118702.0,5.0,Unbroken (2014)
297,108149.0,5.0,At Berkeley (2013)
298,4098.0,5.0,"Dead, The (1987)"
299,116847.0,5.0,United States of Secrets (Part One): The Program (2014)
300,111617.0,5.0,Blended (2014)
301,114342.0,5.0,Force Majeure (Turist) (2014)
302,4439.0,5.0,Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo) (1981)
303,5004.0,5.0,"Party, The (1968)"
304,129.0,5.0,Pie in the Sky (1996)
305,128.0,5.0,Jupiter's Wife (1994)
306,4445.0,5.0,T-Rex: Back to the Cretaceous (1998)
307,2559.0,5.0,"King and I, The (1999)"
308,2545.0,5.0,Relax... It's Just Sex (1998)
309,113240.0,5.0,Winter Sleep (Kis Uykusu) (2014)
310,5607.0,5.0,"Son of the Bride (Hijo de la novia, El) (2001)"
311,4868.0,5.0,Bangkok Dangerous (2000)
312,111921.0,5.0,The Fault in Our Stars (2014)
313,4626.0,5.0,Miracle Mile (1989)
314,114.0,5.0,Margaret's Museum (1995)
315,4741.0,5.0,Together (Tillsammans) (2000)
316,112460.0,5.0,Planes: Fire & Rescue (2014)
317,4711.0,5.0,Theremin: An Electronic Odyssey (1993)
318,112582.0,5.0,Life Itself (2014)
319,110781.0,5.0,Mulan II (2004)
320,4384.0,5.0,Lumumba (2000)
321,138.0,5.0,"Neon Bible, The (1995)"
322,110771.0,5.0,"Other Woman, The (2014)"
323,4216.0,5.0,Longtime Companion (1990)
324,2388.0,5.0,Steam: The Turkish Bath (Hamam) (1997)
325,4236.0,5.0,Keep the River on Your Right: A Modern Cannibal Tale (2000)
326,5367.0,5.0,My Beautiful Laundrette (1985)
327,116217.0,5.0,Secret of the Wings (2012)
328,5221.0,5.0,Harrison's Flowers (2000)
329,5169.0,5.0,Scarlet Street (1945)
330,116136.0,5.0,Olive Kitteridge (2014)
331,109742.0,5.0,Cheap Thrills (2013)
332,109846.0,5.0,Mr. Peabody & Sherman (2014)
333,95856.0,5.0,Knick Knack (1989)
334,4278.0,5.0,Triumph of the Will (Triumph des Willens) (1934)
335,2419.0,5.0,Extremities (1986)
336,2609.0,5.0,"King of Masks, The (Bian Lian) (1996)"
337,2607.0,5.0,Get Real (1998)
338,110501.0,5.0,The Raid 2: Berandal (2014)
339,4335.0,5.0,Midnight Madness (1980)
340,6633.0,5.0,Prince of Jutland (a.k.a. Royal Deceit) (1994)
341,105217.0,5.0,Adventures in Zambezia (2012)
342,106.0,5.0,Nobody Loves Me (Keiner liebt mich) (1994)
343,98243.0,5.0,Rise of the Guardians (2012)
344,7577.0,5.0,"Magic Flute, The (Trollflöjten) (1975)"
345,97168.0,5.0,Marley (2012)
346,130448.0,5.0,Poltergeist (2015)
347,1987.0,5.0,Prom Night (1980)
348,3127.0,5.0,Holy Smoke (1999)
349,128968.0,5.0,Stitch! The Movie (2003)
350,101415.0,5.0,"First Time, The (2012)"
351,3338.0,5.0,For All Mankind (1989)
352,127152.0,5.0,Going Clear: Scientology and the Prison of Belief (2015)
353,98491.0,5.0,Paperman (2012)
354,130578.0,5.0,"Gunman, The (2015)"
355,127146.0,5.0,Kurt Cobain: Montage of Heck (2015)
356,3143.0,5.0,Hell in the Pacific (1968)
357,99912.0,5.0,Mama (2013)
358,100058.0,5.0,Patrice O'Neal: Elephant in the Room (2011)
359,3222.0,5.0,Carmen (1984)
360,6939.0,5.0,Gloomy Sunday (Ein Lied von Liebe und Tod) (1999)
361,100581.0,5.0,Room 237 (2012)
362,126921.0,5.0,The Fox and the Hound 2 (2006)
363,100556.0,5.0,"Act of Killing, The (2012)"
364,7043.0,5.0,Vivre sa vie: Film en douze tableaux (My Life to Live) (1962)
365,2920.0,5.0,Children of Paradise (Les enfants du paradis) (1945)
366,96815.0,5.0,V/H/S (2012)
367,96621.0,5.0,Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard) (2009)
368,95977.0,5.0,Junior Prom (1946)
369,6683.0,5.0,Fire (1996)
370,3014.0,5.0,Bustin' Loose (1981)
371,102720.0,5.0,Epic (2013)
372,95979.0,5.0,Oranges (2004)
373,134368.0,5.0,Spy (2015)
374,96009.0,5.0,"Kiss, The (1896)"
375,96052.0,5.0,"Tortoise and the Hare, The (1935)"
376,96069.0,5.0,"Little Mermaid: Ariel's Beginning, The (2008)"
377,121099.0,5.0,101 Dalmatians II: Patch's London Adventure (2003)
378,132796.0,5.0,San Andreas (2015)
379,132569.0,5.0,Comedy Central Roast of Justin Bieber (2015)
380,96075.0,5.0,Bleak House (2005)
381,131248.0,5.0,Brother Bear 2 (2006)
382,7891.0,5.0,"Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)"
383,214.0,5.0,Before the Rain (Pred dozhdot) (1994)
384,7881.0,5.0,White Zombie (1932)
385,7820.0,5.0,"Virgin Spring, The (Jungfrukällan) (1960)"
386,2073.0,5.0,Fandango (1985)
387,26150.0,4.875,Andrei Rublev (Andrey Rublyov) (1969)
388,1788.0,4.875,Men with Guns (1997)
389,7089.0,4.833333333333333,Amarcord (1973)
390,68269.0,4.833333333333333,"Young Victoria, The (2009)"
391,78088.0,4.833333333333333,Buried (2010)
392,6669.0,4.785714285714286,Ikiru (1952)
393,27879.0,4.75,DiG! (2004)
394,5121.0,4.75,Stroszek (1977)
395,6902.0,4.75,Interstate 60 (2002)
396,49917.0,4.75,When the Levees Broke: A Requiem in Four Acts (2006)
397,27727.0,4.75,Head-On (Gegen die Wand) (2004)
398,27073.0,4.75,Two Hands (1999)
399,27002.0,4.75,From the Earth to the Moon (1998)
400,3415.0,4.75,"Mirror, The (Zerkalo) (1975)"
401,80.0,4.75,"White Balloon, The (Badkonake sefid) (1995)"
402,65868.0,4.75,Repo! The Genetic Opera (2008)
403,95375.0,4.75,Boundin' (2003)
404,61406.0,4.75,John Adams (2008)
405,55687.0,4.75,My Kid Could Paint That (2007)
406,93040.0,4.75,"Civil War, The (1990)"
407,41226.0,4.75,Sounder (1972)
408,670.0,4.75,"World of Apu, The (Apur Sansar) (1959)"
409,116161.0,4.75,Foxcatcher (2014)
410,6783.0,4.75,"Rules of the Game, The (La règle du jeu) (1939)"
411,52435.0,4.7,How the Grinch Stole Christmas! (1966)
412,31437.0,4.666666666666667,Nobody Knows (Dare mo shiranai) (2004)
413,893.0,4.666666666666667,Mother Night (1996)
414,4117.0,4.666666666666667,Hope and Glory (1987)
415,72356.0,4.666666666666667,Partly Cloudy (2009)
416,1406.0,4.666666666666667,"Judgement in Stone, A (Cérémonie, La) (1995)"
417,4970.0,4.666666666666667,"Blue Angel, The (Blaue Engel, Der) (1930)"
418,7484.0,4.666666666666667,Gimme Shelter (1970)
419,3605.0,4.666666666666667,King Creole (1958)
420,7440.0,4.666666666666667,Paper Clips (2004)
421,1151.0,4.666666666666667,Faust (1994)
422,50912.0,4.666666666666667,"Paris, I Love You (Paris, je t'aime) (2006)"
423,44633.0,4.666666666666667,"Devil and Daniel Johnston, The (2005)"
424,25923.0,4.666666666666667,Great Expectations (1946)
425,26444.0,4.666666666666667,"Hitch Hikers Guide to the Galaxy, The (1981)"
426,961.0,4.666666666666667,Little Lord Fauntleroy (1936)
427,7096.0,4.666666666666667,Rivers and Tides (2001)
428,242.0,4.666666666666667,Farinelli: il castrato (1994)
429,3405.0,4.666666666666667,"Night to Remember, A (1958)"
430,896.0,4.666666666666667,Wild Reeds (Les roseaux sauvages) (1994)
431,95858.0,4.666666666666667,For the Birds (2000)
432,1051.0,4.666666666666667,Trees Lounge (1996)
433,7926.0,4.625,High and Low (Tengoku to jigoku) (1963)
434,2937.0,4.625,"Palm Beach Story, The (1942)"
435,3720.0,4.625,Sunshine (1999)
436,7706.0,4.625,Animal Crackers (1930)
437,3094.0,4.625,Maurice (1987)
438,5224.0,4.625,Promises (2001)
439,25777.0,4.6,Monkey Business (1931)
440,2357.0,4.590909090909091,Central Station (Central do Brasil) (1998)
441,4642.0,4.571428571428571,Hedwig and the Angry Inch (2000)
442,3134.0,4.571428571428571,Grand Illusion (La grande illusion) (1937)
443,3077.0,4.555555555555555,42 Up (1998)
444,45175.0,4.5,Kinky Boots (2005)
445,42418.0,4.5,"New World, The (2005)"
446,3002.0,4.5,My Best Fiend (Mein liebster Feind) (1999)
447,4655.0,4.5,Romero (1989)
448,4428.0,4.5,"Misfits, The (1961)"
449,58306.0,4.5,Mongol (2007)
450,4437.0,4.5,Suspiria (1977)
451,58301.0,4.5,Funny Games U.S. (2007)
452,62912.0,4.5,High School Musical 3: Senior Year (2008)
453,1177.0,4.5,Enchanted April (1992)
454,4490.0,4.5,"Couch Trip, The (1988)"
455,56744.0,4.5,Longford (2006)
456,45183.0,4.5,"Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)"
457,937.0,4.5,Love in the Afternoon (1957)
458,57274.0,4.5,[REC] (2007)
459,4347.0,4.5,Divided We Fall (Musíme si pomáhat) (2000)
460,57243.0,4.5,"Band's Visit, The (Bikur Ha-Tizmoret) (2007)"
461,62437.0,4.5,W. (2008)
462,4541.0,4.5,"Serpent and the Rainbow, The (1988)"
463,4502.0,4.5,Ernest Saves Christmas (1988)
464,56719.0,4.5,Vitus (2006)
465,57476.0,4.5,"Cheyenne Social Club, The (1970)"
466,51991.0,4.5,"Italian, The (Italianetz) (2005)"
467,824.0,4.5,Kaspar Hauser (1993)
468,1087.0,4.5,Madame Butterfly (1995)
469,50641.0,4.5,House (Hausu) (1977)
470,4021.0,4.5,Before Night Falls (2000)
471,55031.0,4.5,"Evening with Kevin Smith, An (2002)"
472,3925.0,4.5,Stranger Than Paradise (1984)
473,997.0,4.5,Caught (1996)
474,59295.0,4.5,Expelled: No Intelligence Allowed (2008)
475,50740.0,4.5,Seven Up! (1964)
476,50742.0,4.5,7 Plus Seven (1970)
477,1000.0,4.5,Curdled (1996)
478,2864.0,4.5,Splendor (1999)
479,1002.0,4.5,Ed's Next Move (1996)
480,59440.0,4.5,Bella (2006)
481,52730.0,4.5,It's a Very Merry Muppet Christmas Movie (2002)
482,1044.0,4.5,Surviving Picasso (1996)
483,3282.0,4.5,Different for Girls (1996)
484,59143.0,4.5,Super High Me (2007)
485,4135.0,4.5,"Monster Squad, The (1987)"
486,3347.0,4.5,Never Cry Wolf (1983)
487,2669.0,4.5,Pork Chop Hill (1959)
488,61312.0,4.5,Noise (2007)
489,55721.0,4.5,Elite Squad (Tropa de Elite) (2007)
490,4298.0,4.5,Rififi (Du rififi chez les hommes) (1955)
491,60990.0,4.5,"End of Summer, The (Early Autumn) (Kohayagawa-ke no aki) (1961)"
492,4269.0,4.5,Rat (2000)
493,47491.0,4.5,Adam's Apples (Adams æbler) (2005)
494,60758.0,4.5,Brideshead Revisited (2008)
495,55451.0,4.5,"Jane Austen Book Club, The (2007)"
496,844.0,4.5,"Story of Xinghua, The (Xinghua san yue tian) (1994)"
497,3120.0,4.5,"Distinguished Gentleman, The (1992)"
498,58992.0,4.5,Joy Division (2007)
499,1112.0,4.5,Palookaville (1996)
500,4217.0,4.5,4 Little Girls (1997)
501,2859.0,4.5,Stop Making Sense (1984)
502,60291.0,4.5,Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008)
503,4237.0,4.5,"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)"
504,5137.0,4.5,Scratch (2001)
505,42163.0,4.5,Richard Pryor: Live in Concert (1979)
506,6515.0,4.5,You Only Live Once (1937)
507,25891.0,4.5,Heaven Can Wait (1943)
508,25886.0,4.5,Random Harvest (1942)
509,6568.0,4.5,Camp (2003)
